
????

  ??  ????          ????        ??           PID
  TCP    0.0.0.0:53             0.0.0.0:0              LISTENING       45292
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       2672
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1234           0.0.0.0:0              LISTENING       17748
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3392
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10788
  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       6956
  TCP    0.0.0.0:17854          0.0.0.0:0              LISTENING       4672
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       21868
  TCP    0.0.0.0:28252          0.0.0.0:0              LISTENING       6152
  TCP    0.0.0.0:31100          0.0.0.0:0              LISTENING       6312
  TCP    0.0.0.0:31104          0.0.0.0:0              LISTENING       6312
  TCP    0.0.0.0:31105          0.0.0.0:0              LISTENING       7112
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       2364
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       2124
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2280
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4572
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       5628
  TCP    0.0.0.0:49685          0.0.0.0:0              LISTENING       2344
  TCP    0.0.0.0:50052          0.0.0.0:0              LISTENING       6368
  TCP    0.0.0.0:50071          0.0.0.0:0              LISTENING       6956
  TCP    127.0.0.1:4001         0.0.0.0:0              LISTENING       26236
  TCP    127.0.0.1:4128         0.0.0.0:0              LISTENING       41420
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       26236
  TCP    127.0.0.1:4310         0.0.0.0:0              LISTENING       26236
  TCP    127.0.0.1:5283         0.0.0.0:0              LISTENING       26236
  TCP    127.0.0.1:5284         0.0.0.0:0              LISTENING       4672
  TCP    127.0.0.1:7897         0.0.0.0:0              LISTENING       45292
  TCP    127.0.0.1:7897         127.0.0.1:49854        TIME_WAIT       0
  TCP    127.0.0.1:7897         127.0.0.1:49871        FIN_WAIT_2      45292
  TCP    127.0.0.1:7897         127.0.0.1:52890        FIN_WAIT_2      45292
  TCP    127.0.0.1:7897         127.0.0.1:53068        ESTABLISHED     45292
  TCP    127.0.0.1:7897         127.0.0.1:58111        TIME_WAIT       0
  TCP    127.0.0.1:7897         127.0.0.1:58139        FIN_WAIT_2      45292
  TCP    127.0.0.1:7897         127.0.0.1:58141        FIN_WAIT_2      45292
  TCP    127.0.0.1:7897         127.0.0.1:58178        ESTABLISHED     45292
  TCP    127.0.0.1:7897         127.0.0.1:58181        ESTABLISHED     45292
  TCP    127.0.0.1:7897         127.0.0.1:58650        FIN_WAIT_2      45292
  TCP    127.0.0.1:7897         127.0.0.1:61726        ESTABLISHED     45292
  TCP    127.0.0.1:7897         127.0.0.1:64624        ESTABLISHED     45292
  TCP    127.0.0.1:8010         0.0.0.0:0              LISTENING       40948
  TCP    127.0.0.1:8010         127.0.0.1:61385        ESTABLISHED     40948
  TCP    127.0.0.1:8011         0.0.0.0:0              LISTENING       42188
  TCP    127.0.0.1:9210         0.0.0.0:0              LISTENING       26236
  TCP    127.0.0.1:10554        0.0.0.0:0              LISTENING       40096
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       21868
  TCP    127.0.0.1:27060        127.0.0.1:60034        ESTABLISHED     21868
  TCP    127.0.0.1:31100        127.0.0.1:65354        ESTABLISHED     6312
  TCP    127.0.0.1:31104        127.0.0.1:49672        ESTABLISHED     6312
  TCP    127.0.0.1:31104        127.0.0.1:49688        ESTABLISHED     6312
  TCP    127.0.0.1:33331        0.0.0.0:0              LISTENING       44508
  TCP    127.0.0.1:35600        0.0.0.0:0              LISTENING       6304
  TCP    127.0.0.1:35600        127.0.0.1:65355        ESTABLISHED     6304
  TCP    127.0.0.1:37600        0.0.0.0:0              LISTENING       17024
  TCP    127.0.0.1:41343        0.0.0.0:0              LISTENING       17748
  TCP    127.0.0.1:49467        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:49672        127.0.0.1:31104        ESTABLISHED     6312
  TCP    127.0.0.1:49684        127.0.0.1:50052        ESTABLISHED     6312
  TCP    127.0.0.1:49688        127.0.0.1:31104        ESTABLISHED     6312
  TCP    127.0.0.1:49871        127.0.0.1:7897         CLOSE_WAIT      26668
  TCP    127.0.0.1:50051        0.0.0.0:0              LISTENING       6504
  TCP    127.0.0.1:50052        127.0.0.1:49684        ESTABLISHED     6368
  TCP    127.0.0.1:50052        127.0.0.1:65404        ESTABLISHED     6368
  TCP    127.0.0.1:50072        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:50272        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:50706        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:50878        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:51057        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:51489        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:51669        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:51917        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:52372        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:52825        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:52890        127.0.0.1:7897         CLOSE_WAIT      26668
  TCP    127.0.0.1:53068        127.0.0.1:7897         ESTABLISHED     38648
  TCP    127.0.0.1:53254        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:53554        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:53882        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:54410        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:54581        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:55042        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:55492        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:57213        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:57305        0.0.0.0:0              LISTENING       4672
  TCP    127.0.0.1:57305        127.0.0.1:59751        ESTABLISHED     4672
  TCP    127.0.0.1:57306        0.0.0.0:0              LISTENING       4672
  TCP    127.0.0.1:57306        127.0.0.1:49467        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:50072        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:50272        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:50706        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:50878        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:51057        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:51489        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:51669        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:51917        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:52372        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:52825        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:53254        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:53554        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:53882        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:54410        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:54581        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:55042        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:55492        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:57213        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:57646        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:57815        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:58302        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:58597        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:58674        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:58856        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59021        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59169        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59438        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59613        ESTABLISHED     4672
