"映像名称","PID","会话名      ","会话#   ","内存使用 "
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","2,124 K"
"Registry","464","Services","0","58,884 K"
"smss.exe","1180","Services","0","3,012 K"
"csrss.exe","1920","Services","0","9,428 K"
"wininit.exe","2124","Services","0","11,124 K"
"csrss.exe","2132","Console","1","8,348 K"
"winlogon.exe","2228","Console","1","36,936 K"
"services.exe","2344","Services","0","14,512 K"
"lsass.exe","2364","Services","0","48,440 K"
"svchost.exe","2504","Services","0","77,588 K"
"fontdrvhost.exe","2536","Services","0","12,260 K"
"fontdrvhost.exe","2544","Console","1","108,608 K"
"WUDFHost.exe","2552","Services","0","22,528 K"
"svchost.exe","2672","Services","0","39,244 K"
"svchost.exe","2728","Services","0","31,764 K"
"dwm.exe","2796","Console","1","727,288 K"
"svchost.exe","2908","Services","0","20,948 K"
"svchost.exe","2924","Services","0","29,312 K"
"svchost.exe","2940","Services","0","63,924 K"
"svchost.exe","2956","Services","0","37,560 K"
"svchost.exe","2280","Services","0","35,364 K"
"svchost.exe","2436","Services","0","33,796 K"
"svchost.exe","2388","Services","0","47,964 K"
"svchost.exe","2424","Services","0","34,768 K"
"svchost.exe","1364","Services","0","22,284 K"
"svchost.exe","3188","Services","0","40,284 K"
"svchost.exe","3196","Services","0","21,740 K"
"svchost.exe","3232","Services","0","39,636 K"
"svchost.exe","3280","Services","0","26,344 K"
"svchost.exe","3428","Services","0","45,948 K"
"svchost.exe","3680","Services","0","27,568 K"
"svchost.exe","3688","Services","0","28,840 K"
"svchost.exe","3768","Services","0","45,780 K"
"svchost.exe","4068","Services","0","23,008 K"
"vmms.exe","3392","Services","0","77,464 K"
"svchost.exe","4156","Services","0","29,748 K"
"NVDisplay.Container.exe","4224","Services","0","130,504 K"
"svchost.exe","4492","Services","0","27,672 K"
"atiesrxx.exe","4556","Services","0","39,716 K"
"amdfendrsr.exe","4564","Services","0","44,096 K"
"svchost.exe","4572","Services","0","37,084 K"
"svchost.exe","4580","Services","0","26,216 K"
"svchost.exe","4688","Services","0","26,756 K"
"svchost.exe","4748","Services","0","42,564 K"
"atieclxx.exe","4924","Console","1","80,164 K"
"svchost.exe","4932","Services","0","29,792 K"
"svchost.exe","4940","Services","0","48,056 K"
"svchost.exe","4948","Services","0","21,312 K"
"svchost.exe","5048","Services","0","37,384 K"
"svchost.exe","5056","Services","0","27,720 K"
"svchost.exe","5068","Services","0","24,808 K"
"Memory Compression","5108","Services","0","113,460 K"
"svchost.exe","5164","Services","0","51,060 K"
"svchost.exe","5208","Services","0","81,500 K"
"svchost.exe","5256","Services","0","24,804 K"
"svchost.exe","5324","Services","0","30,868 K"
"svchost.exe","5328","Services","0","26,368 K"
"svchost.exe","5484","Services","0","66,508 K"
"svchost.exe","5520","Services","0","42,560 K"
"svchost.exe","5548","Services","0","40,744 K"
"spoolsv.exe","5628","Services","0","53,700 K"
"svchost.exe","5744","Services","0","27,912 K"
"svchost.exe","5908","Services","0","47,984 K"
"amd3dvcacheSvc.exe","5916","Services","0","22,952 K"
"AmdAppCompatSvc.exe","5924","Services","0","17,440 K"
"AmdPpkgSvc.exe","5932","Services","0","36,596 K"
"clash-verge-service.exe","5944","Services","0","15,840 K"
"svchost.exe","5952","Services","0","152,272 K"
"svchost.exe","5960","Services","0","57,500 K"
"FNPLicensingService64.exe","5972","Services","0","36,912 K"
"svchost.exe","5980","Services","0","37,560 K"
"svchost.exe","5988","Services","0","78,908 K"
"nvcontainer.exe","6008","Services","0","105,800 K"
"RtkBtManServ.exe","6040","Services","0","25,708 K"
"svchost.exe","6052","Services","0","21,000 K"
"GigabyteUpdateService.exe","6064","Services","0","54,184 K"
"svchost.exe","6072","Services","0","30,540 K"
"sqlwriter.exe","6080","Services","0","30,432 K"
"ManagerService.exe","6088","Services","0","19,512 K"
"svchost.exe","6096","Services","0","53,688 K"
"svchost.exe","6104","Services","0","20,428 K"
"APOConfigService.exe","6112","Services","0","46,168 K"
"wallpaperservice32.exe","6120","Services","0","9,124 K"
"MpDefenderCoreService.exe","6128","Services","0","35,576 K"
"svchost.exe","4736","Services","0","32,400 K"
"spacedeskService.exe","6152","Services","0","46,904 K"
"SonarworksWDMDriverService.exe","6160","Services","0","49,552 K"
"wslservice.exe","6176","Services","0","87,040 K"
"MsMpEng.exe","6200","Services","0","419,588 K"
"RtkAudUService64.exe","6236","Services","0","55,648 K"
"vmcompute.exe","6260","Services","0","31,120 K"
"ToDesk.exe","6304","Services","0","229,292 K"
"CoordinatorService.exe","6312","Services","0","104,128 K"
"LicenseService.exe","6368","Services","0","25,428 K"
"endpointService.exe","6504","Services","0","34,772 K"
"svchost.exe","6872","Services","0","31,228 K"
"Manager.exe","6956","Services","0","360,148 K"
"conhost.exe","7020","Services","0","28,652 K"
"BuildService.exe","7112","Services","0","27,308 K"
"WmiPrvSE.exe","7448","Services","0","67,256 K"
"NVDisplay.Container.exe","7832","Console","1","146,192 K"
"audiodg.exe","7888","Services","0","18,204 K"
"spacedeskServiceTray.exe","8208","Console","1","15,116 K"
"amd3dvcacheUser.exe","9492","Console","1","17,964 K"
"svchost.exe","7060","Services","0","64,104 K"
"sihost.exe","5812","Console","1","138,992 K"
"svchost.exe","5896","Console","1","26,884 K"
"svchost.exe","5824","Console","1","70,768 K"
"svchost.exe","4548","Console","1","20,904 K"
"svchost.exe","8172","Console","1","111,512 K"
"GCC.exe","5804","Console","1","422,772 K"
"svchost.exe","10316","Services","0","60,736 K"
"taskhostw.exe","10620","Console","1","53,368 K"
"svchost.exe","10696","Services","0","25,008 K"
"svchost.exe","10788","Services","0","62,536 K"
"svchost.exe","10816","Services","0","63,556 K"
"explorer.exe","10980","Console","1","632,872 K"
"svchost.exe","5792","Services","0","42,108 K"
"AggregatorHost.exe","11428","Services","0","32,916 K"
"svchost.exe","11652","Services","0","26,144 K"
"svchost.exe","12212","Services","0","80,320 K"
"svchost.exe","12272","Console","1","109,272 K"
"NisSrv.exe","13364","Services","0","17,860 K"
"SearchHost.exe","13476","Console","1","272,736 K"
"StartMenuExperienceHost.exe","13484","Console","1","282,364 K"
"UserOOBEBroker.exe","13712","Console","1","32,156 K"
"RuntimeBroker.exe","13784","Console","1","109,448 K"
"svchost.exe","13816","Console","1","101,872 K"
